# source	GeoNames (https://www.geonames.org) — CC BY 4.0
# généré par	scripts/build-chad-geography.mjs
# colonnes	kind puis champs propres au niveau — voir docs/chad-geography-sources.md
P	01	Batha	إقليم البطحة	2435899
P	02	Wadi Fira	إقليم وادي فيرا	244877
P	05	Guéra	إقليم قيرا	2431555
P	06	Kanem	منطقة كانم	2430873
P	07	Lac	إقليم البحيرة	2429323
P	08	Logone Occidental	إقليم لوقون الغربي	2429060
P	09	Logone Oriental	إقليم لوقون الشرقي	2429058
P	12	Ouadaï	إقليم واداي	242246
P	13	Salamat	إقليم سلامات	242048
P	14	Tandjilé	إقليم تانجيلي	2425287
P	15	Chari-Baguirmi	شاري باقرمي	2434478
P	16	Mayo-Kebbi Est	إقليم مايو كيبي الشرقي	2428132
P	17	Moyen-Chari	إقليم شاري الأوسط	2427315
P	18	Hadjer-Lamis	ولاية حجر لميس	7603251
P	19	Mandoul	ولاية ماندول	7603252
P	20	Mayo-Kebbi Ouest	إقليم مايو كيبي الغربي	7603253
P	21	N’Djaména	انجمينا	7603254
P	22	Barh el Gazel	ولاية بحر الغزال	7603255
P	23	Borkou	إقليم بوركو	7602866
P	25	Sila	ولاية سيلا	7603257
P	26	Tibesti	إقليم تبستي	7603258
P	27	Ennedi-Est	ولاية إنيدي الشرقي	8604858
P	28	Ennedi-Ouest	ولاية إنيدي الغربي	8604857
D	12186890	01	Batha-Est	البطحاء الشرقية	12186890
D	12186891	01	Batha-Ouest	البطحاء الغربية	12186891
D	12186892	01	Ouadi Rimé	وادي ريمه	12186892
D	12186894	01	Assinet	الصنيط	12186894
D	12186897	01	Haraze	حراز	12186897
D	8659322	01	Batha		8659322
D	9166643	01	Fitri		9166643
D	10377074	02	Kobé		10377074
D	12186832	02	Biltine	بلتن	12186832
D	12186833	02	Dar-Tama	دار تاما	12186833
D	12186834	02	Mégri	ميقري	12186834
D	12186848	02	Iriba	إريبا	12186848
D	12186849	02	Al-Biher	البحير	12186849
D	12186850	02	Dar-Alfawakih	دار الفواكه	12186850
D	12186852	02	Wadi-Hawar	وادي حوار	12186852
D	10400446	05	Abtouyour		10400446
D	12186543	05	Mangalmé	منقلمي	12186543
D	12186544	05	Garada	قرضا	12186544
D	13448898	05	Barh-Signaka	بحر-سنجاكا	13448898
D	13448899	05	Guéra	قيرا	13448899
D	9166522	05	Barh Signaka		9166522
D	12186903	06	Nord-Kanem	شمال كانم	12186903
D	12186904	06	Sud-Kanem	جنوب كانم	12186904
D	13448908	06	Kanem	كانم	13448908
D	8693073	06	Rig-Rig		8693073
D	10400441	07	Wayi		10400441
D	12186905	07	Kouloudia	كولوديا	12186905
D	12186906	07	Kaya	كايا	12186906
D	12186907	07	Fouli	فولي	12186907
